CUSTID,GENDER,DOB,EDATE,AGE,AGEGRP1,AGEGRP2,TV_REG,NGROUP,NEIGHBORHOOD,LCDATE,ORGANICS,BILL,REGION,CLASS,ORGYN,AFFL,LTIME
0033525168,F,1932-08-02,1998-02-23,,,,London,A,04,1993-02-17,0,970,South East,Silver,0,9,6
0033525567,F,1932-09-03,1998-02-23,65,60-80,60-70,East,F,51,1996-03-25,0,6000,Midlands,Gold,0,4,2
0033525788,F,1940-03-13,1998-02-23,57,40-60,50-60,London,B,14,1996-04-02,1,6000,South East,Gold,1,7,2
0033526270,F,1960-05-25,1998-02-23,37,20-40,30-40,S & S East,D,27,1990-05-01,1,0.009999999999999998,South East,Tin,1,9,8
0033527225,F,1945-07-30,1998-02-23,52,40-60,50-60,C Scotland,B,10,1975-11-10,1,300.01,Scottish,Silver,1,12,23
0033528515,,1924-12-04,1998-02-23,73,60-80,70-80,N East,B,10,1996-01-04,0,8000,North,Gold,0,9,3
0033529325,F,1947-04-07,1998-02-23,50,40-60,50-60,London,F,48,1986-07-02,0,3500,South East,Silver,0,13,12
0033530765,,1926-11-23,1998-02-23,71,60-80,70-80,C Scotland,B,09,1993-02-01,0,6000,Scottish,Gold,0,10,6
0033530897,F,1939-07-23,1998-02-23,58,40-60,50-60,S & S East,E,38,1993-09-27,0,0.009999999999999998,South East,Tin,0,11,5
0033535368,M,1954-07-01,1998-02-23,43,40-60,40-50,S & S East,C,25,1988-06-15,1,0.009999999999999998,South East,Tin,1,12,10
0033535848,M,1938-07-25,1998-02-23,59,40-60,50-60,Midlands,E,45,1997-03-20,0,2000,Midlands,Silver,0,6,1
0033537034,F,1936-09-19,1998-02-23,61,60-80,60-70,Yorkshire,D,32,1996-06-25,1,6000,North,Gold,1,8,2
0033539380,M,1950-10-26,1998-02-23,47,40-60,40-50,London,B,10,1993-10-02,1,0.009999999999999998,South East,Tin,1,6,5
0033539916,F,1946-01-19,1998-02-23,52,40-60,50-60,S & S East,B,12,1993-10-01,0,0.10999999999999999,South East,Silver,0,5,5
0033542224,F,1951-02-16,1998-02-23,47,40-60,40-50,Ulster,,,1988-06-13,0,0.009999999999999998,Midlands,Tin,0,9,10
0033544383,,1961-02-05,1998-02-23,37,20-40,30-40,London,C,26,1990-03-01,2,0.009999999999999998,South East,Tin,1,9,8
0033548737,F,1941-03-24,1998-02-23,56,40-60,50-60,N West,F,51,1994-04-27,0,0.009999999999999998,North,Tin,0,7,4
0033551371,M,1956-02-23,1998-02-23,42,40-60,40-50,N West,F,53,1994-02-03,0,0.009999999999999998,North,Tin,0,14,5
0033552432,F,1938-02-07,1998-02-23,60,60-80,60-70,London,D,31,1993-04-23,0,12000,South East,Gold,0,9,5
0033552815,F,1954-07-07,1998-02-23,43,40-60,40-50,Midlands,C,16,1990-05-23,0,0.019999999999999997,Midlands,Silver,0,4,8
0033553811,F,1943-02-10,1998-02-23,,,,N East,D,31,1991-01-07,0,3000,North,Silver,0,9,8
0033555695,F,1954-02-18,1998-02-23,44,40-60,40-50,S & S East,D,28,1995-02-09,1,7500,South East,Gold,1,11,4
0033556080,F,1954-01-01,1998-02-23,44,40-60,40-50,Midlands,D,33,1990-05-01,0,0.009999999999999998,Midlands,Tin,0,9,8
0033557329,F,1952-12-27,1998-02-23,,,,Wales & West,B,12,1988-07-01,0,0.009999999999999998,Midlands,Tin,0,5,10
0033558392,F,1963-08-01,1998-02-23,,,,S & S East,D,28,1990-02-01,1,0.009999999999999998,South East,Tin,1,11,9
0033560133,F,1926-09-19,1998-02-23,71,60-80,70-80,S & S East,D,32,1987-11-04,0,4000.01,South East,Silver,0,6,11
0033562420,F,1931-01-22,1998-02-23,67,60-80,60-70,S West,E,44,1991-03-28,1,15553.349999999999,South West,Gold,1,10,7
0033563043,F,1970-04-30,1998-02-23,27,20-40,20-30,London,E,38,1990-01-01,1,480,South East,Silver,1,,9
0033565399,F,1964-03-26,1998-02-23,,,,S & S East,F,51,1990-01-01,1,0.009999999999999998,South East,Tin,1,15,9
0033565771,F,1958-04-10,1998-02-23,39,20-40,30-40,East,F,54,1993-03-04,0,1000,Midlands,Silver,0,11,5
0033566212,M,1970-03-03,1998-02-23,27,20-40,20-30,N West,E,38,1994-09-30,1,0.009999999999999998,North,Tin,1,10,4
0033566352,F,1944-10-01,1998-02-23,53,40-60,50-60,London,D,29,1993-05-24,0,4000,South East,Silver,0,,5
0033567723,M,1944-07-11,1998-02-23,53,40-60,50-60,London,F,51,1991-10-09,0,0.009999999999999998,South East,Tin,0,8,7
0033569122,M,1925-02-25,1998-02-23,73,60-80,70-80,Yorkshire,F,49,1994-11-14,0,15000,North,Gold,0,9,4
0033569327,M,1936-11-05,1998-02-23,61,60-80,60-70,N West,D,35,1991-04-02,0,3000,North,Silver,0,8,7
0033570643,M,1951-03-10,1998-02-23,46,40-60,40-50,East,A,02,1991-01-08,0,3000,Midlands,Silver,0,6,8
0033572190,,1936-11-16,1998-02-23,61,60-80,60-70,London,C,20,1900-01-01,0,9000,South East,Gold,0,10,0
0033573707,F,1958-04-23,1998-02-23,,,,London,E,42,1994-04-27,1,0.009999999999999998,South East,Tin,1,9,4
0033574959,F,1961-05-30,1998-02-23,36,20-40,30-40,London,D,28,1989-12-19,1,300,South East,Silver,1,6,9
0033575874,M,1942-08-01,1998-02-23,55,40-60,50-60,N East,B,10,1991-01-17,0,7000,North,Gold,0,10,8
0033576838,,1935-01-10,1998-02-23,63,60-80,60-70,Midlands,E,45,1990-10-01,0,4080,Midlands,Silver,0,6,8
0033577141,F,1962-07-23,1998-02-23,35,20-40,30-40,Wales & West,F,51,1997-09-12,0,6000,Midlands,Gold,0,6,1
0033577273,,1924-04-09,1998-02-23,73,60-80,70-80,Wales & West,,,1991-01-30,0,12000,Midlands,Gold,0,7,8
0033580630,M,1942-09-27,1998-02-23,55,40-60,50-60,London,E,37,1996-10-22,0,24000,South East,Platinum,0,6,2
0033582269,,1932-11-30,1998-02-23,65,60-80,60-70,London,C,21,1987-11-06,0,50,South East,Silver,0,9,11
0033583486,,1969-03-20,1998-02-23,28,20-40,20-30,London,F,52,1994-05-05,0,425,South East,Silver,0,13,4
0033585195,,1960-10-07,1998-02-23,37,20-40,30-40,S West,D,27,1993-12-13,0,0.009999999999999998,South West,Tin,0,7,5
0033586086,F,1961-11-19,1998-02-23,36,20-40,30-40,London,D,31,1994-07-18,0,0.009999999999999998,South East,Tin,0,7,4
0033588224,U,1960-12-23,1998-02-23,37,20-40,30-40,Midlands,D,32,1996-03-30,0,6000,Midlands,Gold,0,9,2
0033588372,F,1927-12-10,1998-02-23,70,60-80,70-80,S & S East,C,19,1991-01-14,0,21000,South East,Platinum,0,4,8
0033589310,M,1923-10-09,1998-02-23,74,60-80,70-80,London,C,25,1988-01-25,0,10100,South East,Gold,0,7,11
0033590270,F,1938-09-29,1998-02-23,59,40-60,50-60,Wales & West,C,24,1992-02-01,0,0.009999999999999998,Midlands,Tin,0,7,7
0033590768,U,1938-02-11,1998-02-23,60,60-80,60-70,Midlands,E,37,1991-01-02,0,470,Midlands,Silver,0,11,8
0033590970,F,1947-10-22,1998-02-23,50,40-60,50-60,S & S East,C,23,1995-09-04,1,7500,South East,Gold,1,11,3
0033594453,M,1928-02-20,1998-02-23,70,60-80,70-80,London,E,37,1989-01-18,0,50,South East,Silver,0,11,10
0033595131,F,1953-05-06,1998-02-23,44,40-60,40-50,East,D,27,1991-01-17,0,6500,Midlands,Gold,0,7,8
0033595573,F,1945-04-19,1998-02-23,52,40-60,50-60,Midlands,F,53,1986-01-01,0,3800,Midlands,Silver,0,10,13
0033595883,M,1953-05-21,1998-02-23,,,,N West,D,28,1994-10-03,1,0.009999999999999998,North,Tin,1,5,4
0033598025,F,1949-01-25,1998-02-23,49,40-60,40-50,London,C,25,1994-01-26,0,0.009999999999999998,South East,Tin,0,9,5
0033599927,F,1962-09-27,1998-02-23,,,,,D,32,1997-03-27,1,2000,,Silver,1,3,1
0033600399,F,1928-07-13,1998-02-23,69,60-80,60-70,Midlands,B,08,1963-02-01,0,6000,Midlands,Gold,0,,36
0033601506,M,1933-11-05,1998-02-23,64,60-80,60-70,N East,F,52,1997-09-04,0,6000,North,Gold,0,7,1
0033602774,U,1929-09-28,1998-02-23,68,60-80,60-70,S West,B,15,1997-11-10,0,5000,South West,Silver,0,5,1
0033603207,F,1969-05-17,1998-02-23,28,20-40,20-30,S West,C,22,1993-12-16,1,0.009999999999999998,South West,Tin,1,11,5
0033603797,F,1948-11-19,1998-02-23,49,40-60,40-50,S & S East,B,05,1990-02-01,0,0.009999999999999998,South East,Tin,0,9,9
0033604289,U,1944-07-15,1998-02-23,53,40-60,50-60,N West,C,25,1990-04-18,0,0.009999999999999998,North,Tin,0,3,8
0033604319,F,1950-03-10,1998-02-23,47,40-60,40-50,Wales & West,,,1988-04-26,1,0.009999999999999998,Midlands,Tin,1,6,10
0033608810,F,1940-12-20,1998-02-23,57,40-60,50-60,S & S East,B,14,1994-01-20,0,0.009999999999999998,South East,Tin,0,10,5
0033609493,M,1957-01-27,1998-02-23,41,40-60,40-50,East,D,32,1990-05-09,0,0.009999999999999998,Midlands,Tin,0,8,8
0033609809,M,1945-05-24,1998-02-23,52,40-60,50-60,East,C,24,1997-11-03,0,1000,Midlands,Silver,0,17,1
0033611056,F,1938-06-26,1998-02-23,59,40-60,50-60,S & S East,C,22,1993-05-17,0,5000,South East,Silver,0,8,5
0033611226,F,1937-10-05,1998-02-23,60,60-80,60-70,Yorkshire,E,41,1996-05-24,0,6000,North,Gold,0,4,2
0033613920,M,1945-03-01,1998-02-23,53,40-60,50-60,East,F,49,1996-01-10,0,170,Midlands,Silver,0,1,3
0033616333,F,1938-02-24,1998-02-23,60,60-80,60-70,N West,A,04,1994-11-10,0,20000,North,Gold,0,5,4
0033617739,F,1921-05-23,1998-02-23,76,60-80,70-80,,D,28,1990-01-01,1,0.009999999999999998,,Tin,1,10,9
0033618727,F,1928-12-08,1998-02-23,,,,N West,C,19,1990-02-14,0,17195.33,North,Gold,0,6,9
0033624220,U,1933-01-15,1998-02-23,65,60-80,60-70,Midlands,F,51,1990-03-30,0,12373.119999999999,Midlands,Gold,0,2,8
0033624387,,1947-07-02,1998-02-23,50,40-60,50-60,N West,D,31,1997-05-29,0,3500,North,Silver,0,4,1
0033624930,M,1945-06-06,1998-02-23,52,40-60,50-60,Wales & West,C,19,1991-07-01,0,0.009999999999999998,Midlands,Tin,0,7,7
0033626479,F,1931-08-17,1998-02-23,66,60-80,60-70,London,E,37,1988-06-22,0,3203.9799999999996,South East,Silver,0,,10
0033629222,F,1968-02-08,1998-02-23,30,20-40,30-40,Midlands,E,45,1994-02-09,1,0.009999999999999998,Midlands,Tin,1,6,5
0033631952,F,1945-09-20,1998-02-23,52,40-60,50-60,,B,05,1997-03-19,1,6000,,Gold,1,9,1
0033633009,F,1945-11-20,1998-02-23,52,40-60,50-60,S West,B,06,1990-07-01,0,0.009999999999999998,South West,Tin,0,7,8
0033633726,M,1945-01-12,1998-02-23,53,40-60,50-60,Wales & West,F,53,1997-11-06,1,1800,Midlands,Silver,1,10,1
0033634129,M,1967-06-12,1998-02-23,30,20-40,30-40,S & S East,D,28,1991-09-11,1,0.009999999999999998,South East,Tin,1,9,7
0033634862,F,1933-12-26,1998-02-23,64,60-80,60-70,East,B,08,1988-02-27,0,1500,Midlands,Silver,0,,10
0033635605,F,1952-04-29,1998-02-23,45,40-60,40-50,London,B,14,1993-09-15,0,0.009999999999999998,South East,Tin,0,,5
0033635877,M,1953-12-21,1998-02-23,44,40-60,40-50,East,B,08,1992-10-20,0,1500,Midlands,Silver,0,5,6
0033636539,,1918-08-10,1998-02-23,79,60-80,70-80,S & S East,C,24,1990-01-26,0,50.01,South East,Silver,0,,9
0033638299,M,1948-09-23,1998-02-23,49,40-60,40-50,Midlands,C,19,1997-06-30,0,4370,Midlands,Silver,0,2,1
0033638493,U,1969-02-17,1998-02-23,29,20-40,20-30,London,B,09,1993-12-17,0,0.009999999999999998,South East,Tin,0,12,5
0033638981,M,1943-10-02,1998-02-23,,,,Midlands,F,53,1996-09-06,0,6000,Midlands,Gold,0,6,2
0033641680,F,1968-04-04,1998-02-23,29,20-40,20-30,Wales & West,C,23,1994-01-26,0,0.009999999999999998,Midlands,Tin,0,3,5
0033641974,F,1951-05-23,1998-02-23,46,40-60,40-50,Wales & West,B,11,1993-03-29,1,6053.349999999999,Midlands,Gold,1,7,5
0033643241,F,1939-04-15,1998-02-23,58,40-60,50-60,London,B,09,1992-10-14,2,0.009999999999999998,South East,Tin,1,15,6
0033643446,F,1959-10-31,1998-02-23,38,20-40,30-40,Midlands,E,37,1988-04-06,1,19.389999999999997,Midlands,Silver,1,15,10
0033644663,F,1951-04-08,1998-02-23,46,40-60,40-50,London,D,27,1993-12-08,0,0.009999999999999998,South East,Tin,0,8,5
0033645724,F,1923-08-19,1998-02-23,74,60-80,70-80,London,C,24,1990-04-03,0,25884.25,South East,Platinum,0,9,8
0033646755,,1937-10-10,1998-02-23,60,60-80,60-70,Yorkshire,B,10,1994-12-23,0,15000,North,Gold,0,5,4
0033647468,M,1921-09-01,1998-02-23,76,60-80,70-80,S & S East,C,18,1987-05-26,0,1500,South East,Silver,0,5,11
0033647760,F,1952-10-17,1998-02-23,45,40-60,40-50,S & S East,D,27,1993-10-03,0,0.009999999999999998,South East,Tin,0,6,5
0033648294,F,1964-12-21,1998-02-23,33,20-40,30-40,London,F,53,1994-04-28,0,0.009999999999999998,South East,Tin,0,7,4
0033649614,M,1952-01-03,1998-02-23,46,40-60,40-50,London,D,28,1996-04-30,0,6000,South East,Gold,0,,2
0033650779,,1958-03-27,1998-02-23,39,20-40,30-40,Midlands,C,19,1997-05-20,0,720,Midlands,Silver,0,7,1
0033652500,F,1961-03-19,1998-02-23,36,20-40,30-40,East,F,54,1997-11-05,1,3500,Midlands,Silver,1,13,1
0033654049,F,1971-02-23,1998-02-23,27,20-40,20-30,S West,,,1994-06-28,1,600,South West,Silver,1,9,4
0033657242,M,1938-03-04,1998-02-23,60,60-80,60-70,S West,,,1994-02-17,0,0.009999999999999998,South West,Tin,0,8,5
0033658257,F,1931-09-27,1998-02-23,66,60-80,60-70,London,A,04,1990-02-20,0,5000,South East,Silver,0,5,9
0033660197,U,1921-08-16,1998-02-23,76,60-80,70-80,East,D,35,1992-03-31,0,9200,Midlands,Gold,0,6,6
0033660243,U,1963-05-30,1998-02-23,34,20-40,30-40,London,E,38,1993-12-15,0,0.019999999999999997,South East,Silver,0,5,5
0033660774,F,1931-11-04,1998-02-23,,,,N West,D,28,1994-09-19,1,5250.4,North,Gold,1,9,4
0033662920,F,1956-06-20,1998-02-23,41,40-60,40-50,London,D,34,1993-12-20,1,0.009999999999999998,South East,Tin,1,12,5
0033664214,F,1951-11-27,1998-02-23,46,40-60,40-50,S & S East,D,28,1990-02-01,0,0.009999999999999998,South East,Tin,0,,9
0033666020,F,1943-07-11,1998-02-23,54,40-60,50-60,London,F,53,1997-07-29,0,4000,South East,Silver,0,3,1
0033668112,F,1936-11-24,1998-02-23,61,60-80,60-70,London,E,38,1991-01-25,1,12000,South East,Gold,1,9,8
0033669380,F,1960-02-10,1998-02-23,38,20-40,30-40,London,D,27,1990-05-01,0,0.009999999999999998,South East,Tin,0,,8
0033670028,U,1920-08-15,1998-02-23,77,60-80,70-80,Midlands,C,23,1994-05-09,0,8000,Midlands,Gold,0,14,4
0033670281,F,1963-07-07,1998-02-23,34,20-40,30-40,London,F,52,1993-10-03,1,0.009999999999999998,South East,Tin,1,7,5
0033671520,,1964-12-09,1998-02-23,33,20-40,30-40,East,E,37,1994-11-02,0,0.009999999999999998,Midlands,Tin,0,6,4
0033674660,F,1942-04-21,1998-02-23,55,40-60,50-60,London,B,12,1991-01-10,1,1150,South East,Silver,1,9,8
0033675399,M,1933-12-13,1998-02-23,64,60-80,60-70,Midlands,A,02,1990-05-01,0,4000.01,Midlands,Silver,0,15,8
0033678029,F,1938-06-13,1998-02-23,59,40-60,50-60,Wales & West,F,52,1997-07-02,1,6000,Midlands,Gold,1,7,1
0033679068,,1948-06-12,1998-02-23,49,40-60,40-50,Border,B,14,1997-07-01,0,2000,Scottish,Silver,0,12,1
0033679181,F,1922-08-20,1998-02-23,75,60-80,70-80,Midlands,B,05,1997-06-30,0,6000,Midlands,Gold,0,7,1
0033679270,F,1936-05-03,1998-02-23,61,60-80,60-70,Midlands,C,16,1996-07-08,0,6000,Midlands,Gold,0,7,2
0033679351,F,1940-10-02,1998-02-23,57,40-60,50-60,East,C,23,1996-10-07,0,25,Midlands,Silver,0,9,2
0033680546,U,1946-08-14,1998-02-23,51,40-60,50-60,Midlands,D,32,1991-03-01,0,0.009999999999999998,Midlands,Tin,0,4,7
0033681097,F,1967-07-07,1998-02-23,30,20-40,30-40,London,B,09,1991-09-06,1,66202.35999999999,South East,Platinum,1,10,7
0033681178,F,1940-06-10,1998-02-23,57,40-60,50-60,Border,F,52,1993-12-22,0,0.009999999999999998,Scottish,Tin,0,3,5
0033682220,M,1927-04-26,1998-02-23,,,,London,C,22,1994-02-04,0,5000,South East,Silver,0,9,5
0033685777,M,1964-09-09,1998-02-23,33,20-40,30-40,Wales & West,F,51,1993-09-27,0,0.009999999999999998,Midlands,Tin,0,9,5
0033687079,M,1962-07-24,1998-02-23,35,20-40,30-40,London,C,22,1991-10-01,1,6053.36,South East,Gold,1,7,7
0033688016,M,1944-06-23,1998-02-23,53,40-60,50-60,N West,C,17,1990-02-10,0,800,North,Silver,0,11,9
0033689993,F,1929-09-18,1998-02-23,68,60-80,60-70,S & S East,C,24,1996-03-22,0,5000,South East,Silver,0,4,2
0033694199,F,1923-07-28,1998-02-23,74,60-80,70-80,C Scotland,E,41,1990-06-20,0,7105.32,Scottish,Gold,0,5,8
0033694741,M,1947-01-03,1998-02-23,51,40-60,50-60,S & S East,D,30,1993-12-21,0,0.009999999999999998,South East,Tin,0,10,5
0033695586,F,1926-02-25,1998-02-23,72,60-80,70-80,Wales & West,F,46,1995-04-06,1,18000,Midlands,Gold,1,5,3
0033695810,F,1939-08-13,1998-02-23,58,40-60,50-60,London,B,12,1995-04-21,0,16000,South East,Gold,0,7,3
0033696493,U,1939-02-24,1998-02-23,59,40-60,50-60,London,B,10,1990-05-30,0,0.009999999999999998,South East,Tin,0,9,8
0033697236,M,1926-05-25,1998-02-23,71,60-80,70-80,N East,B,12,1996-06-04,0,6000,North,Gold,0,3,2
0033697406,F,1955-07-18,1998-02-23,42,40-60,40-50,C Scotland,C,17,1989-04-06,0,13298.929999999998,Scottish,Gold,0,5,9
0033698356,F,1937-01-13,1998-02-23,61,60-80,60-70,Yorkshire,D,28,1991-01-25,0,12000,North,Gold,0,6,8
0033699360,F,1923-04-26,1998-02-23,74,60-80,70-80,Yorkshire,E,37,1996-06-10,0,6143.469999999999,North,Gold,0,6,2
0033699700,U,1953-02-20,1998-02-23,45,40-60,40-50,Yorkshire,B,10,1993-02-05,0,0.009999999999999998,North,Tin,0,7,6
0033700237,F,1934-11-04,1998-02-23,63,60-80,60-70,London,D,29,1994-01-31,0,5936.04,South East,Gold,0,7,5
0033704240,F,1940-04-16,1998-02-23,57,40-60,50-60,London,D,27,1993-02-08,0,3000,South East,Silver,0,9,6
0033707177,F,1927-03-19,1998-02-23,70,60-80,70-80,S & S East,C,25,1993-08-25,0,4438.16,South East,Silver,0,14,5
0033709170,F,1959-11-02,1998-02-23,38,20-40,30-40,N West,F,51,1994-09-12,3,0.009999999999999998,North,Tin,1,27,4
0033709331,M,1930-09-16,1998-02-23,67,60-80,60-70,London,E,44,1990-02-01,1,0.009999999999999998,South East,Tin,1,14,9
0033709951,,1953-03-09,1998-02-23,44,40-60,40-50,Midlands,D,34,1988-07-01,0,600,Midlands,Silver,0,2,10
0033710100,F,1945-10-15,1998-02-23,52,40-60,50-60,S West,F,52,1996-01-29,1,6000,South West,Gold,1,12,3
0033710712,M,1943-07-11,1998-02-23,54,40-60,50-60,N Scot,C,23,1994-10-14,0,0.009999999999999998,Scottish,Tin,0,17,4
0033711689,F,1950-11-10,1998-02-23,47,40-60,40-50,London,C,22,1994-02-04,1,30,South East,Silver,1,13,5
0033712839,F,1970-06-13,1998-02-23,,,,Yorkshire,F,49,1994-03-25,0,0.009999999999999998,North,Tin,0,7,4
0033713550,M,1931-07-18,1998-02-23,66,60-80,60-70,S & S East,D,28,1988-12-13,0,0.009999999999999998,South East,Tin,0,7,10
0033713770,,1922-11-18,1998-02-23,75,60-80,70-80,London,C,19,1986-11-13,0,21107.64,South East,Platinum,0,9,12
0033714637,,1943-04-12,1998-02-23,54,40-60,50-60,London,E,40,1987-06-09,0,2476.91,South East,Silver,0,7,11
0033717288,M,1930-02-17,1998-02-23,68,60-80,60-70,London,D,32,1992-09-16,0,17053.34,South East,Gold,0,5,6
0033721757,M,1938-12-13,1998-02-23,59,40-60,50-60,Wales & West,C,18,1995-09-01,0,7500,Midlands,Gold,0,12,3
0033725620,F,1960-10-08,1998-02-23,37,20-40,30-40,,B,14,1997-03-13,0,6000,,Gold,0,9,1
0033726236,M,1938-11-29,1998-02-23,59,40-60,50-60,S & S East,E,37,1996-05-15,0,9000,South East,Gold,0,13,2
0033727909,F,1923-05-16,1998-02-23,74,60-80,70-80,Wales & West,D,28,1991-01-08,0,3500,Midlands,Silver,0,5,8
0033728255,M,1927-09-10,1998-02-23,70,60-80,70-80,N East,B,12,1994-02-22,0,1000,North,Silver,0,7,5
0033728824,F,1948-04-04,1998-02-23,49,40-60,40-50,Wales & West,D,34,1994-06-13,0,20000,Midlands,Gold,0,9,4
0033730055,F,1970-10-14,1998-02-23,27,20-40,20-30,Yorkshire,E,37,1997-04-11,0,1200,North,Silver,0,14,1
0033732643,F,1938-09-20,1998-02-23,59,40-60,50-60,N West,D,27,1996-09-27,0,12000,North,Gold,0,6,2
0033732686,F,1951-06-07,1998-02-23,46,40-60,40-50,S & S East,D,28,1986-08-14,0,3000,South East,Silver,0,6,12
0033734018,F,1955-09-11,1998-02-23,42,40-60,40-50,N West,C,20,1994-10-10,0,0.009999999999999998,North,Tin,0,11,4
0033734301,M,1942-03-07,1998-02-23,56,40-60,50-60,,D,32,1993-05-05,0,1600,,Silver,0,8,5
0033735022,M,1945-04-05,1998-02-23,52,40-60,50-60,N Scot,C,23,1994-02-12,2,1440,Scottish,Silver,1,14,5
0033735766,F,1926-06-16,1998-02-23,71,60-80,70-80,Wales & West,E,42,1996-01-25,0,6000,Midlands,Gold,0,9,3
0033736088,F,1960-11-05,1998-02-23,37,20-40,30-40,London,D,27,1992-09-01,3,0.009999999999999998,South East,Tin,1,19,6
0033736274,F,1949-05-27,1998-02-23,48,40-60,40-50,London,E,44,1990-01-01,1,300,South East,Silver,1,15,9
0033736860,F,1925-11-05,1998-02-23,72,60-80,70-80,N East,D,35,1993-05-19,0,8000,North,Gold,0,9,5
0033737173,F,1953-03-22,1998-02-23,44,40-60,40-50,London,B,12,1997-07-08,1,6988.4,South East,Gold,1,13,1
0033737246,M,1944-11-20,1998-02-23,53,40-60,50-60,Yorkshire,C,23,1994-02-01,0,0.009999999999999998,North,Tin,0,9,5
0033738510,M,1949-11-26,1998-02-23,48,40-60,40-50,Midlands,C,25,1987-12-31,0,4000,Midlands,Silver,0,8,11
0033739168,M,1943-07-16,1998-02-23,54,40-60,50-60,Wales & West,E,37,1993-06-09,0,6000,Midlands,Gold,0,11,5
0033739249,F,1964-04-19,1998-02-23,33,20-40,30-40,London,B,12,1990-05-01,1,0.009999999999999998,South East,Tin,1,8,8
0033739788,F,1944-08-02,1998-02-23,53,40-60,50-60,S West,F,51,1988-05-14,0,1000,South West,Silver,0,5,10
0033742827,M,1937-07-31,1998-02-23,60,60-80,60-70,N West,B,14,1990-03-01,1,50.01,North,Silver,1,,8
0033743254,F,1933-05-22,1998-02-23,64,60-80,60-70,S & S East,D,30,1993-01-18,0,6000,South East,Gold,0,5,6
0033743440,F,1956-07-13,1998-02-23,41,40-60,40-50,Wales & West,D,35,1994-02-04,1,1000,Midlands,Silver,1,14,5
0033745176,F,1958-01-14,1998-02-23,40,40-60,40-50,,D,34,1994-07-25,1,3000,,Silver,1,14,4
0033748221,F,1938-09-05,1998-02-23,59,40-60,50-60,Midlands,D,33,1987-04-01,0,7438.32,Midlands,Gold,0,9,11
0033750048,U,1951-06-06,1998-02-23,46,40-60,40-50,Border,C,25,1994-10-27,0,0.009999999999999998,Scottish,Tin,0,9,4
0033751400,F,1959-02-16,1998-02-23,39,20-40,30-40,S & S East,F,49,1991-01-14,0,9000,South East,Gold,0,7,8
0033751540,F,1936-03-07,1998-02-23,62,60-80,60-70,Border,F,52,1993-03-05,1,4750,Scottish,Silver,1,15,5
0033751770,F,1932-05-04,1998-02-23,65,60-80,60-70,Midlands,B,08,1997-11-18,0,10000,Midlands,Gold,0,9,1
0033752024,F,1942-07-20,1998-02-23,,,,S West,B,06,1988-06-15,1,4000,South West,Silver,1,7,10
0033752679,M,1931-06-14,1998-02-23,66,60-80,60-70,London,C,21,1993-04-26,0,6000,South East,Gold,0,9,5
0033753543,M,1933-02-24,1998-02-23,65,60-80,60-70,S & S East,D,35,1984-05-31,0,6466.9,South East,Gold,0,17,14
0033754140,F,1946-04-15,1998-02-23,51,40-60,50-60,London,B,10,1997-10-28,1,5000,South East,Silver,1,5,1
0033754752,F,1952-02-22,1998-02-23,46,40-60,40-50,London,D,27,1990-07-01,0,6000.02,South East,Gold,0,8,8
0033755082,M,1949-03-07,1998-02-23,49,40-60,40-50,Midlands,B,12,1991-09-23,0,12053.349999999999,Midlands,Gold,0,6,7
0033755139,F,1961-02-22,1998-02-23,37,20-40,30-40,,B,09,1997-03-05,0,2400,,Silver,0,6,1
0033755880,M,1926-08-29,1998-02-23,71,60-80,70-80,C Scotland,E,42,1995-09-08,0,5000,Scottish,Silver,0,12,3
0033756291,F,1945-07-31,1998-02-23,52,40-60,50-60,Midlands,D,35,1985-01-28,0,0.009999999999999998,Midlands,Tin,0,5,14
0033757050,M,1968-12-08,1998-02-23,29,20-40,20-30,London,E,41,1993-12-17,1,0.009999999999999998,South East,Tin,1,15,5
0033757352,F,1938-07-21,1998-02-23,59,40-60,50-60,N West,D,35,1986-08-01,0,2531.53,North,Silver,0,2,12
0033759100,F,1950-10-09,1998-02-23,47,40-60,40-50,S & S East,D,34,1990-06-01,1,0.009999999999999998,South East,Tin,1,7,8
0033759134,M,1953-12-03,1998-02-23,44,40-60,40-50,Yorkshire,C,19,1991-11-01,0,0.009999999999999998,North,Tin,0,7,7
0033759410,F,1935-08-31,1998-02-23,62,60-80,60-70,Border,D,35,1987-01-21,0,33071.08,Scottish,Platinum,0,11,12
0033760035,F,1942-01-29,1998-02-23,56,40-60,50-60,London,D,27,1987-05-01,1,1500,South East,Silver,1,8,11
0033761252,F,1964-10-13,1998-02-23,33,20-40,30-40,East,E,38,1994-01-14,0,0.009999999999999998,Midlands,Tin,0,,5
0033762747,M,1936-04-02,1998-02-23,61,60-80,60-70,N West,B,10,1997-05-27,0,3700,North,Silver,0,5,1
0033763115,F,1949-07-24,1998-02-23,48,40-60,40-50,S & S East,C,25,1987-11-05,0,0.009999999999999998,South East,Tin,0,4,11
0033763816,F,1948-07-23,1998-02-23,49,40-60,40-50,Midlands,C,19,1997-09-23,0,6000,Midlands,Gold,0,5,1
0033764251,M,1935-04-12,1998-02-23,62,60-80,60-70,N West,A,04,1994-01-31,0,0.009999999999999998,North,Tin,0,9,5
0033765711,F,1930-09-03,1998-02-23,67,60-80,60-70,London,A,04,1991-07-04,1,6107.639999999999,South East,Gold,1,11,7
